# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1621VALD_1_1	DIOS	None	_	None	_	_	_	_	origText=DIOS,baseForms=,wordLang=spa
1621VALD_1_2	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_1_3	ñi	ñi	_	PP	3	_	_	_	origText=ñi,baseForms=ñi
1621VALD_1_4	mùpin	mupiñ	_	AJ	nmlz	_	_	_	origText=mùpin,baseForms=mupi|(ü)n
1621VALD_1_5	dùgu	düngu	_	N	_	_	_	_	origText=dùgu,baseForms=düngu
1621VALD_1_6	(	(	PUNCT	PUNCT	_	_	_	_	_
1621VALD_1_7	inche	iñche	_	PN	1s	_	_	_	origText=inche,baseForms=iñche
1621VALD_1_8	ñi	ñi	_	PP	3	_	_	_	origText=ñi,baseForms=ñi
1621VALD_1_9	ayùñel	ayünel	_	None	nmlz|nmlz	_	_	_	origText=ayùñel,baseForms=ayü|(ü)n|el
1621VALD_1_10	pu	pu	_	PL	PL	_	_	_	origText=pu,baseForms=pu
1621VALD_1_11	peñiеmа	peñi	_	N	affect	_	_	_	origText=peñiеmа,baseForms=peñi|ema
1621VALD_1_12	)	)	PUNCT	PUNCT	_	_	_	_	_
1621VALD_1_13	cùpa	küpa	_	AUX	prefix	_	_	_	origText=cùpa,baseForms=küpa
1621VALD_1_14	gеnelаbіn	ngen	_	V	nmlz|nmlz|fut|dir3|ind1s	_	_	_	origText=gеnelаbіn,baseForms=nge|(ü)n|el|a|fi|(ü)n
1621VALD_1_15	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_1_16	рieуmn	pin	_	V	ind1-2p	_	_	_	origText=рieуmn,baseForms=pi|eymün
1621VALD_1_17	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_1_18	cùpan	küpan	_	V	ind1s	_	_	_	origText=cùpan,baseForms=küpa|(ü)n
1621VALD_1_19	.	.	PUNCT	PUNCT	_	_	_	_	_

1621VALD_2_1	Cùme	küme	_	AJ	_	_	_	_	origText=Cùme,baseForms=küme
1621VALD_2_2	gelu	ngelu	_	N	svn	_	_	_	origText=gelu,baseForms=nge|lu
1621VALD_2_3	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_2_4	quimbilmn	kimün	_	V	dir3|subj2p	_	_	_	origText=quimbilmn,baseForms=kim|fi|(ü)lmün
1621VALD_2_5	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_2_6	ayùbilmn	ayün	_	None	dir3|subj2p	_	_	_	origText=ayùbilmn,baseForms=ayü|fi|(ü)lmün
1621VALD_2_7	cay	kay	_	AV	_	_	_	_	origText=cay,baseForms=kay
1621VALD_2_8	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_2_9	vill	fill	_	AJ	_	_	_	_	origText=vill,baseForms=fill
1621VALD_2_10	ella	ella	_	AJ	_	_	_	_	origText=ella,baseForms=ella
1621VALD_2_11	que	ke	_	PL	p	_	_	_	origText=que,baseForms=ke
1621VALD_2_12	dugu	düngu	_	N	_	_	_	_	origText=dugu,baseForms=düngu
1621VALD_2_13	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1621VALD_2_14	tamn	tamün	_	PP	2p	_	_	_	origText=tamn,baseForms=tamün
1621VALD_2_15	pllù	püllü	_	N	_	_	_	_	origText=pllù,baseForms=püllü
1621VALD_2_16	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_2_17	montuay	montun	_	V	fut|ind3	_	_	_	origText=montuay,baseForms=montu|a|iy
1621VALD_2_18	.	.	PUNCT	PUNCT	_	_	_	_	_

1621VALD_3_1	Allcùmollechi	allkün	_	V	imp1s-3/affirm	_	_	_	origText=Allcùmollechi,baseForms=allkù|mullechi
1621VALD_3_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_3_3	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_3_4	quimin	kimün	_	N	nmlz	_	_	_	origText=quimin,baseForms=kim|(ü)n
1621VALD_3_5	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_3_6	huenu	wenu	_	N	_	_	_	_	origText=huenu,baseForms=wenu
1621VALD_3_7	rùpù	rüpü	_	N	_	_	_	_	origText=rùpù,baseForms=rüpü
1621VALD_3_8	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_3_9	veytamn	feymün	_	PN	2p	_	_	_	origText=veytamn,baseForms=feymün
1621VALD_3_10	mogenllechi	mongen	_	V	nmlz|affirm|imp1s	_	_	_	origText=mogenllechi,baseForms=monge|(ü)n|lle|chi
1621VALD_3_11	.	.	PUNCT	PUNCT	_	_	_	_	_

1621VALD_4_1	Allcùgetuli	allkün	_	V	pass|rest|subj1s	_	_	_	origText=Allcùgetuli,baseForms=allkù|nge|tu|li
1621VALD_4_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_4_3	chem	chem	_	WH	particle	_	_	_	origText=chem,baseForms=chem
1621VALD_4_4	cam	kam	_	IP	particle	_	_	_	origText=cam,baseForms=kam
1621VALD_4_5	cùme	küme	_	AJ	_	_	_	_	origText=cùme,baseForms=küme
1621VALD_4_6	gelu	ngelu	_	N	svn	_	_	_	origText=gelu,baseForms=nge|lu
1621VALD_4_7	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_4_8	tamn	tamün	_	PP	2p	_	_	_	origText=tamn,baseForms=tamün
1621VALD_4_9	ynaytuael	inatuel	_	V	vb|fut|nmlz	_	_	_	origText=ynaytuael,baseForms=ina|tu|a|el
1621VALD_4_10	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_4_11	chem	chem	_	WH	particle	_	_	_	origText=chem,baseForms=chem
1621VALD_4_12	cam	kam	_	IP	particle	_	_	_	origText=cam,baseForms=kam
1621VALD_4_13	hueragelu	wedangelu	_	N	vb|nmlz	_	_	_	origText=hueragelu,baseForms=weda|nge|lu
1621VALD_4_14	tamn	tamün	_	PP	2p	_	_	_	origText=tamn,baseForms=tamün
1621VALD_4_15	ynaytunòael	inatuel	_	V	vb|neg|fut|nmlz	_	_	_	origText=ynaytunòael,baseForms=ina|tu|no|a|el
1621VALD_4_16	;	;	PUNCT	PUNCT	_	_	_	_	_
1621VALD_4_17	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_4_18	quimaymn	kimün	_	V	fut|ind2p	_	_	_	origText=quimaymn,baseForms=kim|a|imün
1621VALD_4_19	.	.	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-1_1_1	Marimari	marimari	_	IJ	_	_	_	_	origText=Marimari,baseForms=marimari
1765FEBR-1_1_2	ca	ka	_	AV	_	_	_	_	origText=ca,baseForms=ka
1765FEBR-1_1_3	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-1_1_4	nay	nay	_	N	_	_	_	_	origText=nay,baseForms=nay
1765FEBR-1_1_5	.	.	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-1_2_1	Marimari	marimari	_	IJ	_	_	_	_	origText=Marimari,baseForms=marimari
1765FEBR-1_2_2	ca	ka	_	AV	_	_	_	_	origText=ca,baseForms=ka
1765FEBR-1_2_3	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-1_2_4	nay	nay	_	N	_	_	_	_	origText=nay,baseForms=nay
1765FEBR-1_2_5	.	.	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-1_3_1	Veylleve	feyllefe	_	N	D|affirm|agent	_	_	_	origText=Veylleve,baseForms=fey|lle|fe
1765FEBR-1_3_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-1_3_3	Vachiyauymi	tüfachiyawn	_	V	DP|ind2s	_	_	_	origText=Vachiyauymi,baseForms=tüfachi|(ki)yaw|imi
1765FEBR-1_3_4	?	?	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-1_4_1	May	may	_	AV	_	_	_	_	origText=May,baseForms=may
1765FEBR-1_4_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-1_4_3	vachiyaun	tüfachiyawn	_	V	DP|ind1s	_	_	_	origText=vachiyaun,baseForms=tüfachi|(ki)yaw|(ü)n
1765FEBR-1_4_4	ca	ka	_	AV	_	_	_	_	origText=ca,baseForms=ka
1765FEBR-1_4_5	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-1_4_6	peñi	peñi	_	N	_	_	_	_	origText=peñi,baseForms=peñi
1765FEBR-1_4_7	.	.	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-1_5_1	Ca	ka	_	AV	_	_	_	_	origText=Ca,baseForms=ka
1765FEBR-1_5_2	mapu	mapu	_	N	_	_	_	_	origText=mapu,baseForms=mapu
1765FEBR-1_5_3	gepeymi	ngepen	_	V	px|ind2s	_	_	_	origText=gepeymi,baseForms=nge|pe|imi
1765FEBR-1_5_4	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1765FEBR-1_5_5	tva	tüfa	_	DP	DP	_	_	_	origText=tva,baseForms=tüfa
1765FEBR-1_5_6	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-1_5_7	inche	iñche	_	PN	1s	_	_	_	origText=inche,baseForms=iñche
1765FEBR-1_5_8	may	may	_	AV	_	_	_	_	origText=may,baseForms=may
1765FEBR-1_5_9	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1765FEBR-1_5_10	pequelayu	pen	_	V	habit|neg|ind1s-2s	_	_	_	origText=pequelayu,baseForms=pe|ke|la|eyu
1765FEBR-1_5_11	vachi 	tüfachi	_	DP	DP	_	_	_	origText=vachi ,baseForms=tüfachi
1765FEBR-1_5_12	mapu	mapu	_	N	_	_	_	_	origText=mapu,baseForms=mapu
1765FEBR-1_5_13	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1765FEBR-1_5_14	.	.	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-1_6_1	Mupimi	mupin	_	V	ind2s	_	_	_	origText=Mupimi,baseForms=mupi|imi
1765FEBR-1_6_2	ca	ka	_	AV	_	_	_	_	origText=ca,baseForms=ka
1765FEBR-1_6_3	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-1_6_4	nay	nay	_	N	_	_	_	_	origText=nay,baseForms=nay
1765FEBR-1_6_5	;	;	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-1_6_6	ca	ka	_	AV	_	_	_	_	origText=ca,baseForms=ka
1765FEBR-1_6_7	mapu	mapu	_	N	_	_	_	_	origText=mapu,baseForms=mapu
1765FEBR-1_6_8	gen	ngen	_	V	ind1s	_	_	_	origText=gen,baseForms=nge|(ü)n
1765FEBR-1_6_9	inche	iñche	_	PN	1s	_	_	_	origText=inche,baseForms=iñche
1765FEBR-1_6_10	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-1_6_11	veula	fewla	_	AV	_	_	_	_	origText=veula,baseForms=fewla
1765FEBR-1_6_12	ñi	ñi	_	PP	1	_	_	_	origText=ñi,baseForms=ñi
1765FEBR-1_6_13	conpan	konün	_	V	cis	_	_	_	origText=conpan,baseForms=kon|pa|(ü)n
1765FEBR-1_6_14	vachi	tüfachi	_	DP	DP	_	_	_	origText=vachi,baseForms=tüfachi
1765FEBR-1_6_15	mapu	mapu	_	N	_	_	_	_	origText=mapu,baseForms=mapu
1765FEBR-1_6_16	.	.	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-2_1_1	Marimari	marimari	_	IJ	_	_	_	_	origText=Marimari,baseForms=marimari
1765FEBR-2_1_2	Señor	señor	_	None	_	_	_	_	origText=Señor,baseForms=,wordLang=spa
1765FEBR-2_1_3	Paye	paye	_	N	_	_	_	_	origText=Paye,baseForms=paye
1765FEBR-2_1_4	Millaleuvu	Millaleufu	_	NP	_	_	_	_	origText=Millaleuvu,baseForms=
1765FEBR-2_1_5	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_1_6	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_1_7	quiñe	kiñe	_	NUM	_	_	_	_	origText=quiñe,baseForms=kiñe
1765FEBR-2_1_8	tuayu	tun	_	V	ind1d	_	_	_	origText=tuayu,baseForms=None|a|iyu
1765FEBR-2_1_9	nemùl	n'emül	_	N	_	_	_	_	origText=nemùl,baseForms=n'emül
1765FEBR-2_1_10	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1765FEBR-2_1_11	tva	tüfa	_	DP	DP	_	_	_	origText=tva,baseForms=tüfa
1765FEBR-2_1_12	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_1_13	Señor	señor	_	None	_	_	_	_	origText=Señor,baseForms=,wordLang=spa
1765FEBR-2_1_14	Paye	paye	_	N	_	_	_	_	origText=Paye,baseForms=paye
1765FEBR-2_1_15	.	.	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-2_2_1	Veyllechi	feyllechi	_	N	D|affirm|DA	_	_	_	origText=Veyllechi,baseForms=fey|lle|chi
1765FEBR-2_2_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_2_3	Ancatemù	Ancatemu	_	NP	_	_	_	_	origText=Ancatemù,baseForms=
1765FEBR-2_2_4	.	.	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_2_5	*	*	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-2_3_1	Marimari	marimari	_	IJ	_	_	_	_	origText=Marimari,baseForms=marimari
1765FEBR-2_3_2	Señor	señor	_	None	_	_	_	_	origText=Señor,baseForms=,wordLang=spa
1765FEBR-2_3_3	Paye	paye	_	N	_	_	_	_	origText=Paye,baseForms=paye
1765FEBR-2_3_4	Millaleuvú	Millaleufü	_	NP	_	_	_	_	origText=Millaleuvú,baseForms=
1765FEBR-2_3_5	ga	nga	_	EP	particle	_	_	_	origText=ga,baseForms=nga
1765FEBR-2_3_6	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_7	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_8	acuy	akun	_	V	ind3	_	_	_	origText=acuy,baseForms=aku|iy
1765FEBR-2_3_9	deuma	dewma	_	AV	_	_	_	_	origText=deuma,baseForms=dewma
1765FEBR-2_3_10	ga	nga	_	EP	particle	_	_	_	origText=ga,baseForms=nga
1765FEBR-2_3_11	ñi	ñi	_	PP	1	_	_	_	origText=ñi,baseForms=ñi
1765FEBR-2_3_12	hue	we	_	AJ	_	_	_	_	origText=hue,baseForms=we
1765FEBR-2_3_13	Patiru	patiru	_	N	_	_	_	_	origText=Patiru,baseForms=patiru
1765FEBR-2_3_14	ga	nga	_	EP	particle	_	_	_	origText=ga,baseForms=nga
1765FEBR-2_3_15	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_16	pigeymi	pin	_	V	pass|ind2s	_	_	_	origText=pigeymi,baseForms=pi|nge|imi
1765FEBR-2_3_17	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1765FEBR-2_3_18	tva	tüfa	_	DP	DP	_	_	_	origText=tva,baseForms=tüfa
1765FEBR-2_3_19	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_20	Marimari	marimari	_	IJ	_	_	_	_	origText=Marimari,baseForms=marimari
1765FEBR-2_3_21	ca	ka	_	AV	_	_	_	_	origText=ca,baseForms=ka
1765FEBR-2_3_22	Señor	señor	_	None	_	_	_	_	origText=Señor,baseForms=,wordLang=spa
1765FEBR-2_3_23	Paye	paye	_	N	_	_	_	_	origText=Paye,baseForms=paye
1765FEBR-2_3_24	ga	nga	_	EP	particle	_	_	_	origText=ga,baseForms=nga
1765FEBR-2_3_25	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_26	Ea	eya	_	IJ	_	_	_	_	origText=Ea,baseForms=eya
1765FEBR-2_3_27	pramn	püran	_	V	imp2p	_	_	_	origText=pramn,baseForms=püra|mün
1765FEBR-2_3_28	cahuellu	kawellu	_	N	_	_	_	_	origText=cahuellu,baseForms=kawellu
1765FEBR-2_3_29	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_30	Chao	chaw	_	N	_	_	_	_	origText=Chao,baseForms=chaw
1765FEBR-2_3_31	égn	engün	_	PN	3p	_	_	_	origText=égn,baseForms=engün
1765FEBR-2_3_32	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_33	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_34	pramn	püran	_	V	imp2p	_	_	_	origText=pramn,baseForms=püra|mün
1765FEBR-2_3_35	cahuellu	kawellu	_	N	_	_	_	_	origText=cahuellu,baseForms=kawellu
1765FEBR-2_3_36	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_37	vochùm	fot'üm	_	N	_	_	_	_	origText=vochùm,baseForms=fot'üm
1765FEBR-2_3_38	égn	engün	_	PN	3p	_	_	_	origText=égn,baseForms=engün
1765FEBR-2_3_39	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_40	ga	nga	_	EP	particle	_	_	_	origText=ga,baseForms=nga
1765FEBR-2_3_41	pivin	pin	_	V	dir3|ind1s	_	_	_	origText=pivin,baseForms=pi|fi|(ü)n
1765FEBR-2_3_42	ga	nga	_	EP	particle	_	_	_	origText=ga,baseForms=nga
1765FEBR-2_3_43	ñi	ñi	_	PP	1	_	_	_	origText=ñi,baseForms=ñi
1765FEBR-2_3_44	pichi	pichi	_	AJ	_	_	_	_	origText=pichi,baseForms=pichi
1765FEBR-2_3_45	ga	nga	_	EP	particle	_	_	_	origText=ga,baseForms=nga
1765FEBR-2_3_46	ñi	ñi	_	PP	1	_	_	_	origText=ñi,baseForms=ñi
1765FEBR-2_3_47	pu	pu	_	PL	PL	_	_	_	origText=pu,baseForms=pu
1765FEBR-2_3_48	Ghùlmén	ül'men	_	N	_	_	_	_	origText=Ghùlmén,baseForms=ül'men
1765FEBR-2_3_49	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_50	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-2_3_51	ga	nga	_	EP	particle	_	_	_	origText=ga,baseForms=nga
1765FEBR-2_3_52	ñi	ñi	_	PP	1	_	_	_	origText=ñi,baseForms=ñi
1765FEBR-2_3_53	pichi	pichi	_	AJ	_	_	_	_	origText=pichi,baseForms=pichi
1765FEBR-2_3_54	ga	nga	_	EP	particle	_	_	_	origText=ga,baseForms=nga
1765FEBR-2_3_55	ñi	ñi	_	PP	1	_	_	_	origText=ñi,baseForms=ñi
1765FEBR-2_3_56	pu	pu	_	PL	PL	_	_	_	origText=pu,baseForms=pu

1765FEBR-3_1_1	SAnta	santa	_	AJ	_	_	_	_	origText=SAnta,baseForms=,wordLang=spa
1765FEBR-3_1_2	Cruz	cruz	_	N	_	_	_	_	origText=Cruz,baseForms=,wordLang=spa
1765FEBR-3_1_3	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_1_4	tañi	tañi	_	PP	1s	_	_	_	origText=tañi,baseForms=tañi
1765FEBR-3_1_5	gùnel	ngünel	_	N	nmlz	_	_	_	origText=gùnel,baseForms=ngüne|el
1765FEBR-3_1_6	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1765FEBR-3_1_7	✠	✠	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_1_8	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_1_9	inchiñ	iñchiñ	_	PN	1p	_	_	_	origText=inchiñ,baseForms=iñchiñ
1765FEBR-3_1_10	taiñ	taiñ	_	PP	1p	_	_	_	origText=taiñ,baseForms=taiñ
1765FEBR-3_1_11	✠	✠	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_1_12	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_1_13	pu	pu	_	PL	PL	_	_	_	origText=pu,baseForms=pu
1765FEBR-3_1_14	cayñe	kayñe	_	N	_	_	_	_	origText=cayñe,baseForms=kayñe
1765FEBR-3_1_15	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1765FEBR-3_1_16	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_1_17	montulmoiñ	montun	_	V	cause|ind2-1p	_	_	_	origText=montulmoiñ,baseForms=montu|(ü)l|muiñ
1765FEBR-3_1_18	✠	✠	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_1_19	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_1_20	inchiñ	iñchiñ	_	PN	1p	_	_	_	origText=inchiñ,baseForms=iñchiñ
1765FEBR-3_1_21	taiñ	taiñ	_	PP	1p	_	_	_	origText=taiñ,baseForms=taiñ
1765FEBR-3_1_22	Señor	señor	_	N	_	_	_	_	origText=Señor,baseForms=,wordLang=spa
1765FEBR-3_1_23	Dios	Dios	_	N	_	_	_	_	origText=Dios,baseForms=,wordLang=spa
1765FEBR-3_1_24	.	.	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-3_2_1	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_2_2	Chao	chaw	_	N	_	_	_	_	origText=Chao,baseForms=chaw
1765FEBR-3_2_3	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_2_4	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_2_5	Votùm	fot'üm	_	N	_	_	_	_	origText=Votùm,baseForms=fot'üm
1765FEBR-3_2_6	cay	kay	_	AV	_	_	_	_	origText=cay,baseForms=kay
1765FEBR-3_2_7	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_2_8	✠	✠	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_2_9	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_2_10	Espiritu	espíritu	_	N	_	_	_	_	origText=Espiritu,baseForms=,wordLang=spa
1765FEBR-3_2_11	Santo	santo	_	AJ	_	_	_	_	origText=Santo,baseForms=,wordLang=spa
1765FEBR-3_2_12	cay	kay	_	AV	_	_	_	_	origText=cay,baseForms=kay
1765FEBR-3_2_13	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_2_14	tañi	tañi	_	PP	1s	_	_	_	origText=tañi,baseForms=tañi
1765FEBR-3_2_15	ghùy	üy	_	N	_	_	_	_	origText=ghùy,baseForms=üy
1765FEBR-3_2_16	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1765FEBR-3_2_17	.	.	PUNCT	PUNCT	_	_	_	_	_

1765FEBR-3_3_1	INchiñ	iñchiñ	_	PN	1p	_	_	_	origText=INchiñ,baseForms=iñchiñ
1765FEBR-3_3_2	taiñ	taiñ	_	PP	1p	_	_	_	origText=taiñ,baseForms=taiñ
1765FEBR-3_3_3	Chao	chaw	_	N	_	_	_	_	origText=Chao,baseForms=chaw
1765FEBR-3_3_4	,	,	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_3_5	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_3_6	huenu	wenu	_	N	_	_	_	_	origText=huenu,baseForms=wenu
1765FEBR-3_3_7	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1765FEBR-3_3_8	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1765FEBR-3_3_9	mleymi	mülen	_	V	ind2s	_	_	_	origText=mleymi,baseForms=müle|imi
1765FEBR-3_3_10	:	:	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_3_11	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_3_12	uvchigepe	ufchin	_	V	pass|imp3	_	_	_	origText=uvchigepe,baseForms=ufchi|nge|pe
1765FEBR-3_3_13	tami	tami	_	PP	2s	_	_	_	origText=tami,baseForms=tami
1765FEBR-3_3_14	ghùy	üy	_	N	_	_	_	_	origText=ghùy,baseForms=üy
1765FEBR-3_3_15	:	:	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_3_16	*	*	PUNCT	PUNCT	_	_	_	_	_
1765FEBR-3_3_17	eymi	eymi	_	PN	2s	_	_	_	origText=eymi,baseForms=eymi
1765FEBR-3_3_18	tami	tami	_	PP	2s	_	_	_	origText=tami,baseForms=tami
1765FEBR-3_3_19	reyno	reyno	_	N	_	_	_	_	origText=reyno,baseForms=,wordLang=spa
1765FEBR-3_3_20	*	*	PUNCT	PUNCT	_	_	_	_	_
